hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1059344429161942577,European,0.9,2.167803015059712e-05,0.0,0.0,2.1678030150597115e-05,0.0,99.99999999999999
h00,1059344429161942577,European,1.0,8.67810648085228e-06,0.0,0.0,8.67810648085228e-06,0.0,100.0
h00,1059344429161942577,European,1.1,3.6008702991459493e-06,0.0,0.0,3.6008702991459485e-06,0.0,99.99999999999999
h00,1059344429161942577,European,1.2,1.5378791648833138e-06,0.0,0.0,1.5378791648833136e-06,0.0,99.99999999999999
h00,1059344429161942577,European,1.3,6.720975509777589e-07,0.0,0.0,6.720975509777589e-07,0.0,100.0
h00,1059344429161942577,East Asian,0.7,6.394866565351442e-05,0.0,0.0,6.394866565351445e-05,0.0,100.00000000000004
h00,1059344429161942577,East Asian,0.8,1.8417324705228847e-05,0.0,0.0,1.841732470522885e-05,0.0,100.00000000000001
h00,1059344429161942577,East Asian,0.9,5.477506526374186e-06,0.0,0.0,5.477506526374186e-06,0.0,100.0
h00,1059344429161942577,East Asian,1.0,1.6713330955812337e-06,0.0,0.0,1.6713330955812335e-06,0.0,100.0
h00,1059344429161942577,East Asian,1.1,5.205320981313744e-07,0.0,0.0,5.205320981313745e-07,0.0,100.00000000000001
h00,1059344429161942577,East Asian,1.2,1.6482473286454496e-07,0.0,0.0,1.648247328645449e-07,0.0,99.99999999999997
h00,1059344429161942577,East Asian,1.3,5.290161174401291e-08,0.0,0.0,5.290161174401292e-08,0.0,100.00000000000001
h00,1061286463616756465,African,0.7,7.843150517296858e-05,0.0,3.6019816316236384e-05,4.288663465340471e-05,-2.374728983362659e-07,99.99999999999996
h00,1061286463616756465,African,0.8,3.704834976102154e-05,0.0,2.029218675815257e-05,1.7043370890527874e-05,-1.4360394382944312e-07,100.00000000000004
h00,1061286463616756465,African,0.9,1.8764885807118877e-05,0.0,1.143184184540472e-05,7.477954023660705e-06,-7.245503097326894e-08,100.00000000000006
h00,1061286463616756465,African,1.0,9.8797500864244e-06,0.0,6.440262428879997e-06,3.507723936550546e-06,-3.4118139503073404e-08,99.99999999999999
h00,1061286463616756465,African,1.1,5.311302101497069e-06,0.0,3.628197513029442e-06,1.7143970183549149e-06,-1.5646214943643724e-08,100.0
h00,1061286463616756465,African,1.2,2.888108078933928e-06,0.0,2.0439877006444147e-06,8.584009594304358e-07,-7.1402905704610045e-09,100.0
h00,1061286463616756465,African,1.3,1.580838635463278e-06,0.0,1.1515044882154779e-06,4.359008013297518e-07,-3.283327040976026e-09,99.99999999999997
h00,1061286463616756465,European,0.7,3.049298553609577e-05,0.0,0.0,3.049298553609577e-05,0.0,100.0
h00,1061286463616756465,European,0.8,8.812951361427067e-06,0.0,0.0,8.81295136142707e-06,0.0,100.00000000000004
h00,1061286463616756465,European,0.9,2.7074697908167814e-06,0.0,0.0,2.707469790816781e-06,0.0,99.99999999999997
h00,1061286463616756465,European,1.0,8.894871189349452e-07,0.0,0.0,8.894871189349452e-07,0.0,100.0
h00,1061286463616756465,European,1.1,3.1237264503319903e-07,0.0,0.0,3.1237264503319914e-07,0.0,100.00000000000004
h00,1061286463616756465,European,1.2,1.1640567687611619e-07,0.0,0.0,1.1640567687611619e-07,0.0,100.0
h00,1061286463616756465,European,1.3,4.549397345042623e-08,0.0,0.0,4.549397345042624e-08,0.0,100.00000000000001
h00,1061286463616756465,East Asian,0.7,0.00012249736271271647,0.0,3.509169795496843e-06,0.00011749628501162239,7.459539527986182e-07,100.0
h00,1061286463616756465,East Asian,0.8,5.381766248354212e-05,0.0,1.4174332961261167e-06,5.1978205140863656e-05,2.110120232761814e-07,100.00000000000003
h00,1061286463616756465,East Asian,0.9,2.5762303530978785e-05,0.0,5.725464352962086e-07,2.507369422919011e-05,5.803143324624128e-08,100.00000000000006
h00,1061286463616756465,East Asian,1.0,1.3037309268215322e-05,0.0,2.312705865665004e-07,1.277578697581353e-05,1.5125852917644676e-08,99.99999999999999
h00,1061286463616756465,East Asian,1.1,6.828067534281767e-06,0.0,9.34178960394896e-08,6.727616447287618e-06,3.516595477330367e-09,100.00000000000003
h00,1061286463616756465,East Asian,1.2,3.651955449115893e-06,0.0,3.773458366855949e-08,3.613040879057638e-06,5.899931948473135e-10,99.99999999999997
h00,1061286463616756465,East Asian,1.3,1.978774347435678e-06,0.0,1.524224356137827e-08,1.963605658150666e-06,-3.67771381834353e-11,99.99999999999997
h00,1077681494354284445,African,0.7,0.00012744060647867288,0.0,1.2974561499019117e-06,0.00012641155638800733,-1.3420302961817044e-07,100.00000000000003
h00,1077681494354284445,African,0.8,6.490031794354781e-05,0.0,4.546465964466852e-07,6.454236547316705e-05,-4.8347063032963154e-08,99.99999999999999
h00,1077681494354284445,African,0.9,3.5863415419007494e-05,0.0,1.5931432770638624e-07,3.573914082502826e-05,-1.7519866863572815e-08,100.0
h00,1077681494354284445,African,1.0,2.0872148766606787e-05,0.0,5.5825873600100995e-08,2.0829234687801548e-05,-6.455897397431602e-09,99.99999999999999
h00,1077681494354284445,African,1.1,1.2531491686303603e-05,0.0,1.9562129920050736e-08,1.2516803304202334e-05,-2.436873909388274e-09,100.00000000000004
h00,1077681494354284445,African,1.2,7.66201927629601e-06,0.0,6.854830471262006e-09,7.657056870329494e-06,-9.462122523709477e-10,100.00000000000004
h00,1077681494354284445,African,1.3,4.734372419526208e-06,0.0,2.402023691555796e-09,4.732727316978829e-06,-3.784605720883023e-10,99.99999999999999
