pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p3,A,429,71,0,h00,1788482744701747849
p3,B,243,257,0,h00,1788482744701747849
p3,C,11,146,343,h00,1788482744701747849
p3,Non-ROH,500,0,0,h00,1788482744701747849
p1,A,477,23,0,h00,1789806920600214380
p1,B,133,350,17,h00,1789806920600214380
p1,C,37,77,386,h00,1789806920600214380
p1,Non-ROH,500,0,0,h00,1789806920600214380
p2,A,499,1,0,h00,1789806920600214380
p2,B,287,213,0,h00,1789806920600214380
p2,C,25,111,364,h00,1789806920600214380
p2,Non-ROH,500,0,0,h00,1789806920600214380
p3,A,500,0,0,h00,1789806920600214380
p3,B,315,185,0,h00,1789806920600214380
p3,C,22,129,349,h00,1789806920600214380
p3,Non-ROH,500,0,0,h00,1789806920600214380
p1,A,458,42,0,h00,1816372852695257818
p1,B,137,346,17,h00,1816372852695257818
p1,C,32,87,381,h00,1816372852695257818
p1,Non-ROH,500,0,0,h00,1816372852695257818
p2,A,497,3,0,h00,1816372852695257818
p2,B,269,230,1,h00,1816372852695257818
p2,C,27,100,373,h00,1816372852695257818
p2,Non-ROH,500,0,0,h00,1816372852695257818
p3,A,496,4,0,h00,1816372852695257818
p3,B,387,113,0,h00,1816372852695257818
p3,C,48,120,332,h00,1816372852695257818
p3,Non-ROH,500,0,0,h00,1816372852695257818
p1,A,454,46,0,h00,1818297040266038161
p1,B,119,364,17,h00,1818297040266038161
p1,C,26,111,363,h00,1818297040266038161
p1,Non-ROH,500,0,0,h00,1818297040266038161
p2,A,498,2,0,h00,1818297040266038161
p2,B,262,238,0,h00,1818297040266038161
p2,C,21,112,367,h00,1818297040266038161
p2,Non-ROH,500,0,0,h00,1818297040266038161
p3,A,487,13,0,h00,1818297040266038161
p3,B,297,203,0,h00,1818297040266038161
p3,C,20,74,406,h00,1818297040266038161
p3,Non-ROH,500,0,0,h00,1818297040266038161
p1,A,408,92,0,h00,1933927514968069182
p1,B,73,407,20,h00,1933927514968069182
p1,C,28,85,387,h00,1933927514968069182
p1,Non-ROH,500,0,0,h00,1933927514968069182
p2,A,492,8,0,h00,1933927514968069182
p2,B,152,348,0,h00,1933927514968069182
p2,C,19,118,363,h00,1933927514968069182
p2,Non-ROH,500,0,0,h00,1933927514968069182
p3,A,495,5,0,h00,1933927514968069182
p3,B,229,271,0,h00,1933927514968069182
p3,C,14,122,364,h00,1933927514968069182
p3,Non-ROH,500,0,0,h00,1933927514968069182
p1,A,436,64,0,h00,197130628104802835
p1,B,91,398,11,h00,197130628104802835
p1,C,25,99,376,h00,197130628104802835
p1,Non-ROH,500,0,0,h00,197130628104802835
p2,A,485,15,0,h00,197130628104802835
p2,B,189,311,0,h00,197130628104802835
