"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",1.3,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,52887,0.003,0.003,"**"
"African",1.3,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,73364,0.000893,0.002,"**"
"African",1.3,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000203,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000812,"***"
"African",1.3,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,118401,0.00000000000000000000000000000000000000000000000000000000000000000102,0.0000000000000000000000000000000000000000000000000000000000000000051,"***"
"African",1.3,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,121945,0.00000000000000000000000000000000000000000000000000000000000000000000000000318,0.0000000000000000000000000000000000000000000000000000000000000000000000000191,"***"
"African",1.3,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,112045,0.0000000000000000000000000000000000000000000000000000903,0.000000000000000000000000000000000000000000000000000271,"***"
"African",1.3,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,96703,0.0000000000000000000000000549,0.0000000000000000000000000549,"***"
"African",1.3,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,17666,0.0000000000000000000000000000000000000000000558,0.000000000000000000000000000000000000000000112,"***"
"African",1.3,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,7670,0.00000000000000000000000000000000000000000000000000000000000000008,0.00000000000000000000000000000000000000000000000000000000000000032,"***"
"African",1.3,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,116485,0.0000000000000000000000000000000000000000000000000000000000000244,0.0000000000000000000000000000000000000000000000000000000000000976,"***"
"African",1.3,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,122558,0.0000000000000000000000000000000000000000000000000000000000000000000000000000953,0.000000000000000000000000000000000000000000000000000000000000000000000000000572,"***"
"African",1.3,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,96483,0.000000000000000000000000113,0.000000000000000000000000113,"***"
"African",1.3,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96715,0.0000000000000000000000000528,0.000000000000000000000000106,"***"
