hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2421630746348809573,p3,0,0,500,0,0,57,443,0,383,73,44,0,0,0,500,0
h00,2423373918653785487,p1,0,0,500,0,14,249,237,0,379,57,64,0,0,0,500,0
h00,2423373918653785487,p2,0,0,500,0,0,73,427,0,377,77,46,0,0,0,500,0
h00,2423373918653785487,p3,0,0,500,0,0,27,473,0,343,119,38,0,0,0,500,0
h00,24454192000205924,p1,0,1,499,0,17,248,235,0,374,71,55,0,0,0,500,0
h00,24454192000205924,p2,0,0,500,0,0,60,440,0,320,140,40,0,0,0,500,0
h00,24454192000205924,p3,0,0,500,0,0,50,450,0,386,73,41,0,0,0,500,0
h00,2447731323343121822,p1,0,0,500,0,11,265,224,0,381,59,60,0,0,0,500,0
h00,2447731323343121822,p2,0,0,500,0,0,68,432,0,316,141,43,0,0,0,500,0
h00,2447731323343121822,p3,0,0,500,0,0,49,451,0,388,75,37,0,0,0,500,0
h00,2467830197506776770,p1,0,0,500,0,18,275,207,0,384,76,40,0,0,0,500,0
h00,2467830197506776770,p2,0,0,500,0,0,101,399,0,371,88,41,0,0,0,500,0
h00,2467830197506776770,p3,0,0,500,0,0,71,429,0,366,93,41,0,0,0,500,0
h00,2474864708645148456,p1,0,1,499,0,14,252,234,0,376,56,68,0,0,0,500,0
h00,2474864708645148456,p2,0,0,500,0,0,73,427,0,391,72,37,0,0,0,500,0
h00,2474864708645148456,p3,0,0,500,0,0,52,448,0,340,113,47,0,0,0,500,0
h00,2491469814547847332,p1,0,0,500,0,19,239,242,0,359,83,58,0,0,0,500,0
h00,2491469814547847332,p2,0,0,500,0,0,70,430,0,388,69,43,0,0,0,500,0
h00,2491469814547847332,p3,0,0,500,0,0,34,466,0,358,106,36,0,0,0,500,0
h00,2500502901733353259,p1,0,0,500,0,20,236,244,0,374,68,58,0,0,0,500,0
h00,2500502901733353259,p2,0,0,500,0,0,82,418,0,395,59,46,0,0,0,500,0
h00,2500502901733353259,p3,0,0,500,0,0,55,445,0,379,85,36,0,0,0,500,0
h00,2505890466052842857,p1,0,0,500,0,10,244,246,0,373,69,58,0,0,0,500,0
h00,2505890466052842857,p2,0,0,500,0,0,71,429,0,314,132,54,0,0,0,500,0
h00,2505890466052842857,p3,0,0,500,0,0,44,456,0,350,117,33,0,0,0,500,0
h00,2531555882547941800,p1,0,2,498,0,19,239,242,0,385,41,74,0,0,0,500,0
h00,2531555882547941800,p2,0,0,500,0,0,77,423,0,359,94,47,0,0,0,500,0
