hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2421630746348809573,p3,0,0,500,0,0,0,500,0,383,8,109,0,0,0,500,0
h00,2423373918653785487,p1,0,0,500,0,14,47,439,0,379,5,116,0,0,0,500,0
h00,2423373918653785487,p2,0,0,500,0,0,1,499,0,377,14,109,0,0,0,500,0
h00,2423373918653785487,p3,0,0,500,0,0,0,500,0,343,40,117,0,0,0,500,0
h00,24454192000205924,p1,0,0,500,0,17,44,439,0,374,10,116,0,0,0,500,0
h00,24454192000205924,p2,0,0,500,0,0,0,500,0,320,15,165,0,0,0,500,0
h00,24454192000205924,p3,0,0,500,0,0,0,500,0,386,14,100,0,0,0,500,0
h00,2447731323343121822,p1,0,0,500,0,11,54,435,0,381,22,97,0,0,0,500,0
h00,2447731323343121822,p2,0,0,500,0,0,0,500,0,316,106,78,0,0,0,500,0
h00,2447731323343121822,p3,0,0,500,0,0,0,500,0,388,39,73,0,0,0,500,0
h00,2467830197506776770,p1,0,0,500,0,18,45,437,0,384,8,108,0,0,0,500,0
h00,2467830197506776770,p2,0,0,500,0,0,0,500,0,371,6,123,0,0,0,500,0
h00,2467830197506776770,p3,0,0,500,0,0,0,500,0,366,11,123,0,0,0,500,0
h00,2474864708645148456,p1,0,0,500,0,14,38,448,0,376,8,116,0,0,0,500,0
h00,2474864708645148456,p2,0,0,500,0,0,2,498,0,391,7,102,0,0,0,500,0
h00,2474864708645148456,p3,0,0,500,0,0,0,500,0,340,10,150,0,0,0,500,0
h00,2491469814547847332,p1,0,0,500,0,19,47,434,0,359,11,130,0,0,0,500,0
h00,2491469814547847332,p2,0,0,500,0,0,0,500,0,388,8,104,0,0,0,500,0
h00,2491469814547847332,p3,0,0,500,0,0,0,500,0,358,8,134,0,0,0,500,0
h00,2500502901733353259,p1,0,0,500,0,20,47,433,0,374,14,112,0,0,0,500,0
h00,2500502901733353259,p2,0,0,500,0,0,0,500,0,395,11,94,0,0,0,500,0
